epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1646.3,1.07309,3.52767,1.63183,0.27486,0.35018,0.26963,0.15079,1.38575,3.83497,2.07056,0.000235796,0.000235796,0.000235796
2,2098,1.08878,2.57012,1.6184,0.48072,0.51223,0.4796,0.26408,1.36158,3.41746,2.13197,0.000317444,0.000317444,0.000317444
3,2535.47,1.07025,2.27267,1.58474,0.65285,0.56566,0.61123,0.36305,1.33666,2.76366,1.98415,0.000242011,0.000242011,0.000242011
