epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,537.179,1.05716,3.62816,1.61098,0.38176,0.20982,0.17612,0.09411,1.31359,4.11249,1.9864,0.000235796,0.000235796,0.000235796
2,1120.03,1.13351,2.75122,1.65583,0.39194,0.41359,0.35653,0.19961,1.44696,4.76486,2.19454,0.000469106,0.000469106,0.000469106
3,2067.18,1.20322,2.45346,1.70488,0.42451,0.49888,0.43565,0.2296,1.43446,3.77598,2.26332,0.000697703,0.000697703,0.000697703
4,2708.09,1.1756,2.2345,1.66333,0.55077,0.4956,0.51963,0.24673,1.70642,3.0093,2.42467,0.000692794,0.000692794,0.000692794
5,3355.15,1.19109,2.08781,1.6751,0.59754,0.52835,0.54426,0.31472,1.44667,2.60429,2.17294,0.000685726,0.000685726,0.000685726
