epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1758.59,0.7148,0.74174,1.40623,0.82742,0.81307,0.83998,0.61474,0.99136,0.81635,1.62732,0.000148512,0.000148512,0.000148512
42,1798.59,0.69652,0.66856,1.37466,0.81678,0.84294,0.83875,0.61086,0.98913,0.82385,1.62827,0.000134375,0.000134375,0.000134375
43,1838.92,0.67673,0.64112,1.37069,0.85112,0.82634,0.84242,0.62262,0.97791,0.83289,1.59605,0.000120238,0.000120238,0.000120238
44,1878.76,0.65893,0.61693,1.32913,0.84437,0.83502,0.84506,0.62846,0.96842,0.8037,1.59861,0.0001061,0.0001061,0.0001061
45,1918.99,0.64374,0.60681,1.33368,0.83509,0.83094,0.84338,0.62334,0.97481,0.80081,1.61511,9.19632e-05,9.19632e-05,9.19632e-05
46,1959.5,0.63796,0.62247,1.3218,0.8339,0.80562,0.8407,0.63347,0.95531,0.79903,1.5787,7.7826e-05,7.7826e-05,7.7826e-05
47,2326.05,0.64614,0.5931,1.33413,0.81778,0.83413,0.85196,0.6316,0.97459,0.78335,1.58729,6.36888e-05,6.36888e-05,6.36888e-05
48,2365.62,0.62059,0.58259,1.30627,0.82737,0.83751,0.85134,0.6364,0.96322,0.78333,1.58443,4.95516e-05,4.95516e-05,4.95516e-05
49,2405.57,0.6187,0.54459,1.29809,0.83385,0.83658,0.84771,0.63533,0.96072,0.80081,1.58143,3.54144e-05,3.54144e-05,3.54144e-05
50,2445.29,0.61181,0.57625,1.30353,0.81641,0.83722,0.84378,0.6382,0.95295,0.79537,1.5745,2.12772e-05,2.12772e-05,2.12772e-05
